"","timepoint","mye.treatment","glucose","DAPI","Sytox","total_cells","percent_dead"
"1","24Hr","No_Mye","4.5",501,284,785,36.1783439490446
"2","24Hr","No_Mye","4.5",74,324,398,81.4070351758794
"3","24Hr","No_Mye","4.5",738,99,837,11.8279569892473
"4","24Hr","No_Mye","4.5",751,701,1452,48.2782369146006
"5","24Hr","No_Mye","4.0",1209,1015,2224,45.6384892086331
"6","24Hr","No_Mye","4.0",1328,1016,2344,43.3447098976109
"7","24Hr","No_Mye","4.0",1260,333,1593,20.9039548022599
"8","24Hr","No_Mye","4.0",1259,741,2000,37.05
"9","24Hr","No_Mye","4.0",1141,644,1785,36.078431372549
"10","24Hr","No_Mye","3.5",1057,148,1205,12.2821576763485
"11","24Hr","No_Mye","3.5",1409,30,1439,2.08478109798471
"12","24Hr","No_Mye","3.5",1229,169,1398,12.0886981402003
"13","24Hr","No_Mye","3.5",1056,81,1137,7.12401055408971
"14","24Hr","No_Mye","3.0",1483,26,1509,1.72299536116634
"15","24Hr","No_Mye","3.0",1425,21,1446,1.45228215767635
"16","24Hr","No_Mye","3.0",1284,55,1339,4.1075429424944
"17","24Hr","No_Mye","3.0",1070,35,1105,3.16742081447964
"18","24Hr","No_Mye","2.5",1195,63,1258,5.00794912559618
"19","24Hr","No_Mye","2.5",1350,47,1397,3.36435218324982
"20","24Hr","No_Mye","2.5",1368,39,1407,2.77185501066098
"21","24Hr","No_Mye","2.5",1318,27,1345,2.00743494423792
"22","24Hr","No_Mye","2.5",1192,29,1221,2.37510237510237
"23","24Hr","No_Mye","2.0",1205,90,1295,6.94980694980695
"24","24Hr","No_Mye","2.0",1531,47,1578,2.97845373891001
"25","24Hr","No_Mye","2.0",1551,59,1610,3.66459627329193
"26","24Hr","No_Mye","2.0",1393,67,1460,4.58904109589041
"27","24Hr","No_Mye","2.0",1396,45,1441,3.12283136710618
"28","24Hr","No_Mye","1.5",1457,38,1495,2.54180602006689
"29","24Hr","No_Mye","1.5",1512,44,1556,2.82776349614396
"30","24Hr","No_Mye","1.5",1527,58,1585,3.65930599369085
"31","24Hr","No_Mye","1.5",1185,54,1239,4.35835351089588
"32","24Hr","No_Mye","1.0",971,56,1027,5.45277507302824
"33","24Hr","No_Mye","1.0",1307,72,1379,5.22117476432197
"34","24Hr","No_Mye","1.0",1279,26,1305,1.99233716475096
"35","24Hr","No_Mye","1.0",1470,36,1506,2.39043824701195
"36","24Hr","No_Mye","1.0",1159,52,1211,4.29397192402973
"37","24Hr","No_Mye","0",991,14,1005,1.39303482587065
"38","24Hr","No_Mye","0",1176,24,1200,2
"39","24Hr","No_Mye","0",1029,22,1051,2.09324452901998
"40","24Hr","No_Mye","0",1162,33,1195,2.76150627615063
"41","24Hr","No_Mye","0",893,25,918,2.72331154684096
"42","24hr","+_Mye","4.5",858,5,863,0.579374275782155
"43","24hr","+_Mye","4.5",936,10,946,1.05708245243129
"44","24hr","+_Mye","4.5",773,16,789,2.02788339670469
"45","24hr","+_Mye","4.5",910,7,917,0.763358778625954
"46","24hr","+_Mye","4.5",724,6,730,0.821917808219178
"47","24hr","+_Mye","4.0",924,11,935,1.17647058823529
"48","24hr","+_Mye","4.0",1498,37,1535,2.41042345276873
"49","24hr","+_Mye","4.0",1472,18,1490,1.20805369127517
"50","24hr","+_Mye","4.0",1436,25,1461,1.71115674195756
"51","24hr","+_Mye","4.0",1381,9,1390,0.647482014388489
"52","24hr","+_Mye","3.5",1078,12,1090,1.10091743119266
"53","24hr","+_Mye","3.5",1310,35,1345,2.60223048327138
"54","24hr","+_Mye","3.5",1543,16,1559,1.02629890955741
"55","24hr","+_Mye","3.5",1634,5,1639,0.305064063453325
"56","24hr","+_Mye","3.5",1330,4,1334,0.299850074962519
"57","24hr","+_Mye","3.0",1190,9,1199,0.750625521267723
"58","24hr","+_Mye","3.0",1491,23,1514,1.51915455746367
"59","24hr","+_Mye","3.0",1620,41,1661,2.4683925346177
"60","24hr","+_Mye","3.0",1690,19,1709,1.11176126389702
"61","24hr","+_Mye","3.0",121,23,144,15.9722222222222
"62","24hr","+_Mye","2.5",978,46,1024,4.4921875
"63","24hr","+_Mye","2.5",1409,59,1468,4.01907356948229
"64","24hr","+_Mye","2.5",1590,20,1610,1.24223602484472
"65","24hr","+_Mye","2.5",1597,24,1621,1.48056755089451
"66","24hr","+_Mye","2.5",1282,20,1302,1.53609831029186
"67","24hr","+_Mye","2.0",1209,6,1215,0.493827160493827
"68","24hr","+_Mye","2.0",1239,16,1255,1.27490039840637
"69","24hr","+_Mye","2.0",1460,10,1470,0.680272108843537
"70","24hr","+_Mye","2.0",1451,22,1473,1.49355057705363
"71","24hr","+_Mye","2.0",955,15,970,1.54639175257732
"72","24hr","+_Mye","1.5",1075,25,1100,2.27272727272727
"73","24hr","+_Mye","1.5",1009,47,1056,4.45075757575758
"74","24hr","+_Mye","1.5",1532,36,1568,2.29591836734694
"75","24hr","+_Mye","1.5",1682,29,1711,1.69491525423729
"76","24hr","+_Mye","1.5",663,27,690,3.91304347826087
"77","24hr","+_Mye","1.0",1370,58,1428,4.06162464985994
"78","24hr","+_Mye","1.0",1292,72,1364,5.27859237536657
"79","24hr","+_Mye","1.0",1530,52,1582,3.28697850821745
"80","24hr","+_Mye","1.0",1388,36,1424,2.52808988764045
"81","24hr","+_Mye","1.0",1331,38,1369,2.77574872169467
"82","24hr","+_Mye","0",901,19,920,2.06521739130435
"83","24hr","+_Mye","0",1074,11,1085,1.01382488479263
"84","24hr","+_Mye","0",1115,22,1137,1.9349164467898
"85","24hr","+_Mye","0",999,22,1021,2.15475024485798
"86","24hr","+_Mye","0",1033,18,1051,1.71265461465271
